step,scenario_id,device_type,network_condition,cloud_condition,edge_cpu,edge_ram,edge_battery,bandwidth,latency,queue_delay,workload_cpu,workload_ram,workload_energy,cloud_workload
9,6,smartphone,moderate,busy,54.38,27.25,99.51,52.57,21.21,43.76,18.73,6.42,0.91,7.06
10,6,smartphone,moderate,busy,59.41,25.64,99.46,51.0,20.8,46.91,21.49,3.96,1.06,8.8
11,6,smartphone,moderate,busy,50.74,25.2,99.4,54.04,20.32,50.1,12.33,4.39,1.33,8.77
12,6,smartphone,moderate,busy,51.22,26.5,99.34,51.88,20.35,53.2,16.52,5.64,1.48,7.08
13,6,smartphone,moderate,busy,59.22,27.1,99.31,47.89,21.31,56.48,23.55,5.65,0.54,8.5
14,6,smartphone,moderate,busy,49.24,28.08,99.26,51.66,21.52,59.77,10.04,6.21,0.87,9.28
15,6,smartphone,moderate,busy,57.98,25.92,99.22,52.37,21.18,63.07,22.61,3.48,0.95,7.98
16,6,smartphone,moderate,busy,52.31,27.72,99.16,51.4,21.07,66.87,13.25,6.89,1.36,9.26
17,6,smartphone,moderate,busy,46.03,29.56,99.11,51.63,21.15,70.7,10.48,7.92,0.93,8.07
18,6,smartphone,moderate,busy,48.24,30.62,99.06,53.87,20.57,74.33,14.71,7.87,1.17,7.47
19,6,smartphone,moderate,busy,56.85,30.15,99.02,51.75,20.51,78.0,21.53,6.26,0.57,8.35
0,7,smartphone,poor,idle,31.07,23.81,99.97,12.4,57.39,5.07,11.0,5.07,0.61,0.99
1,7,smartphone,poor,idle,48.77,23.85,99.91,11.62,57.1,5.17,21.04,3.77,1.23,0.96
2,7,smartphone,poor,idle,58.14,25.99,99.86,12.11,57.78,5.25,22.84,6.01,1.07,2.35
3,7,smartphone,poor,idle,55.05,27.27,99.82,12.56,57.59,5.16,15.64,6.86,0.77,1.6
4,7,smartphone,poor,idle,58.04,27.92,99.77,11.99,58.35,5.2,19.3,6.31,1.19,1.67
5,7,smartphone,poor,idle,51.77,27.92,99.72,13.76,57.52,5.15,13.83,5.98,0.82,2.47
6,7,smartphone,poor,idle,48.91,27.19,99.67,13.41,57.21,4.97,13.83,5.19,1.11,0.56
7,7,smartphone,poor,idle,58.5,27.6,99.62,16.21,54.26,5.0,21.65,5.74,1.04,0.86
8,7,smartphone,poor,idle,50.39,29.47,99.57,17.23,51.11,5.11,11.27,7.71,1.33,1.23
9,7,smartphone,poor,idle,52.57,27.96,99.53,15.67,51.15,5.03,16.56,4.64,0.57,0.89
10,7,smartphone,poor,idle,58.52,26.32,99.48,13.75,51.56,4.86,20.76,3.79,0.94,1.38
11,7,smartphone,poor,idle,60.01,28.55,99.43,11.44,53.99,4.93,19.76,7.75,1.1,2.47
12,7,smartphone,poor,idle,55.22,27.94,99.37,9.75,56.68,4.91,16.11,5.62,1.37,2.15
13,7,smartphone,poor,idle,58.72,26.19,99.33,10.22,58.51,4.9,20.86,3.87,0.76,2.47
14,7,smartphone,poor,idle,51.29,27.85,99.27,13.05,57.79,4.88,13.84,7.6,1.46,0.53
15,7,smartphone,poor,idle,45.69,27.57,99.21,12.35,58.09,4.94,11.83,5.83,1.41,2.42
16,7,smartphone,poor,idle,48.0,25.87,99.17,11.74,58.36,4.98,15.65,3.13,1.01,2.31
17,7,smartphone,poor,idle,59.6,26.64,99.12,10.44,59.66,5.05,23.72,6.24,1.03,1.4
18,7,smartphone,poor,idle,45.93,25.35,99.08,11.31,59.67,5.18,10.13,3.17,0.58,2.03
19,7,smartphone,poor,idle,58.85,27.2,99.02,10.7,60.07,5.12,24.29,6.62,1.32,2.07
0,8,smartphone,poor,moderate,38.92,23.79,99.95,13.92,56.8,11.98,17.46,4.33,1.14,5.94
1,8,smartphone,poor,moderate,44.59,26.42,99.91,15.71,54.62,11.87,14.76,6.38,0.59,5.83
2,8,smartphone,poor,moderate,60.13,26.12,99.87,16.97,52.32,12.0,24.7,4.6,0.69,5.76
3,8,smartphone,poor,moderate,59.02,28.24,99.81,16.08,51.53,12.0,19.52,7.58,1.46,3.55
4,8,smartphone,poor,moderate,62.04,28.67,99.77,15.41,50.33,11.99,21.91,6.22,0.93,4.89
5,8,smartphone,poor,moderate,50.87,29.68,99.72,14.68,50.18,12.0,11.59,7.55,0.77,3.21
6,8,smartphone,poor,moderate,47.94,27.69,99.67,13.93,51.32,12.02,14.04,4.05,1.08,3.69
7,8,smartphone,poor,moderate,56.85,27.57,99.61,13.8,52.62,11.91,22.8,6.13,1.47,5.57
8,8,smartphone,poor,moderate,60.81,28.68,99.57,13.46,53.4,11.8,22.22,7.09,0.63,5.69
9,8,smartphone,poor,moderate,58.61,25.91,99.54,13.56,52.95,11.77,17.75,3.03,0.51,5.64
10,8,smartphone,poor,moderate,65.53,27.85,99.48,13.79,53.35,11.75,24.68,7.25,1.33,3.43
11,8,smartphone,poor,moderate,52.9,27.47,99.44,15.18,51.94,11.79,12.05,4.88,0.75,3.28
12,8,smartphone,poor,moderate,63.56,25.62,99.39,16.53,50.87,11.77,24.49,3.39,0.74,5.09
13,8,smartphone,poor,moderate,64.8,26.04,99.35,15.31,50.64,11.73,22.31,5.35,0.9,3.09
14,8,smartphone,poor,moderate,51.74,26.46,99.3,16.99,48.32,11.73,10.29,5.22,1.14,4.96
15,8,smartphone,poor,moderate,54.81,26.39,99.25,17.51,46.06,11.8,17.79,5.49,0.8,3.37
16,8,smartphone,poor,moderate,48.59,25.24,99.21,17.6,45.79,11.79,11.68,3.44,0.66,3.39
17,8,smartphone,poor,moderate,61.67,24.31,99.16,17.01,45.65,11.95,24.38,3.08,1.0,4.29
18,8,smartphone,poor,moderate,66.66,26.54,99.13,14.68,46.78,12.11,24.94,6.49,0.53,5.23
19,8,smartphone,poor,moderate,51.52,27.25,99.07,14.11,48.67,12.29,10.4,6.03,1.33,5.56
0,9,smartphone,poor,busy,34.52,24.3,99.96,12.49,57.44,25.38,13.65,5.51,0.66,8.47
1,9,smartphone,poor,busy,43.07,27.28,99.91,11.18,58.8,26.71,15.96,7.84,1.23,9.75
2,9,smartphone,poor,busy,49.35,27.2,99.85,10.89,59.88,28.45,18.79,4.8,1.5,8.94
3,9,smartphone,poor,busy,48.06,27.38,99.8,10.73,61.0,30.19,13.87,5.39,1.31,6.68
4,9,smartphone,poor,busy,49.86,28.41,99.74,10.87,61.49,32.4,15.51,6.93,1.43,8.99
5,9,smartphone,poor,busy,58.09,28.32,99.68,12.06,60.75,34.67,22.56,5.35,1.41,7.44
6,9,smartphone,poor,busy,63.47,29.88,99.63,11.91,60.34,36.94,22.39,7.1,1.09,6.92
7,9,smartphone,poor,busy,57.75,28.56,99.59,12.12,60.12,39.45,16.52,5.07,0.7,7.27
8,9,smartphone,poor,busy,63.12,28.48,99.54,12.51,59.49,42.44,23.56,5.75,0.68,9.93
9,9,smartphone,poor,busy,62.67,30.16,99.49,13.51,58.3,45.68,19.77,7.91,1.33,8.71
10,9,smartphone,poor,busy,64.37,29.46,99.44,12.25,58.79,48.95,23.98,6.22,1.04,7.76
11,9,smartphone,poor,busy,65.12,26.93,99.39,10.32,60.82,51.98,22.59,3.14,0.92,7.79
12,9,smartphone,poor,busy,61.46,27.81,99.33,8.76,62.3,55.25,18.7,5.8,1.36,6.92
13,9,smartphone,poor,busy,66.33,25.51,99.28,8.28,64.61,58.31,24.68,3.27,0.96,6.58
14,9,smartphone,poor,busy,68.66,26.87,99.22,7.65,66.76,61.67,24.73,5.76,1.39,8.69
15,9,smartphone,poor,busy,60.92,27.67,99.18,9.22,66.67,64.95,16.33,6.92,0.61,7.59
16,9,smartphone,poor,busy,48.87,27.91,99.13,9.39,66.91,68.27,10.17,6.3,1.18,6.94
17,9,smartphone,poor,busy,47.97,28.49,99.08,10.11,66.13,71.5,14.25,6.52,1.17,6.8
18,9,smartphone,poor,busy,43.46,28.42,99.04,8.27,66.93,74.49,10.25,6.88,0.78,8.56
19,9,smartphone,poor,busy,55.65,27.2,98.99,7.6,68.28,78.02,22.86,4.93,0.82,9.75
0,10,raspberry_pi,good,idle,51.0,25.3,100.0,85.13,9.88,4.92,24.68,3.27,1.23,2.33
1,10,raspberry_pi,good,idle,53.39,30.97,100.0,85.43,10.41,4.91,12.39,7.97,0.91,2.42
2,10,raspberry_pi,good,idle,63.52,29.26,100.0,83.46,10.58,4.81,19.46,3.17,0.89,1.39
3,10,raspberry_pi,good,idle,62.46,32.32,100.0,78.89,11.0,4.97,14.12,6.89,0.92,2.26
4,10,raspberry_pi,good,idle,71.87,34.06,100.0,78.34,11.68,4.88,23.43,7.74,1.08,0.61
5,10,raspberry_pi,good,idle,70.88,33.53,100.0,85.84,11.38,4.88,17.81,5.65,0.68,1.58
6,10,raspberry_pi,good,idle,73.82,34.54,100.0,83.05,11.31,5.1,20.46,7.06,1.16,2.36
7,10,raspberry_pi,good,idle,72.71,33.41,100.0,81.02,11.2,5.31,17.94,5.28,0.67,1.02
8,10,raspberry_pi,good,idle,63.47,33.3,100.0,82.82,11.22,5.22,11.93,6.0,0.81,1.38
9,10,raspberry_pi,good,idle,70.67,31.38,100.0,83.69,10.82,5.17,21.71,3.75,1.46,1.03
10,10,raspberry_pi,good,idle,68.95,34.4,100.0,82.93,10.78,5.13,16.8,7.76,1.31,0.54
11,10,raspberry_pi,good,idle,75.8,33.92,100.0,85.77,10.84,5.05,23.49,5.65,1.17,0.99
12,10,raspberry_pi,good,idle,66.14,34.35,100.0,84.84,10.83,4.85,12.19,6.62,1.4,1.9
13,10,raspberry_pi,good,idle,61.59,34.23,100.0,85.19,10.71,4.79,12.34,6.7,1.11,0.98
14,10,raspberry_pi,good,idle,57.11,33.01,100.0,82.1,10.72,4.85,12.26,5.29,0.55,0.53
15,10,raspberry_pi,good,idle,73.15,31.8,100.0,82.4,10.95,4.95,24.91,4.62,0.71,1.29
16,10,raspberry_pi,good,idle,63.98,32.85,100.0,77.81,10.85,5.11,11.21,6.88,0.76,2.29
17,10,raspberry_pi,good,idle,66.95,31.64,100.0,79.45,11.15,5.1,18.22,4.58,1.38,2.35
18,10,raspberry_pi,good,idle,66.17,29.66,100.0,81.65,11.39,5.08,16.09,3.43,0.72,1.09
19,10,raspberry_pi,good,idle,64.99,31.96,100.0,80.83,11.47,5.03,13.91,6.98,1.18,0.62
0,11,raspberry_pi,good,moderate,45.62,28.8,100.0,89.7,9.76,12.1,19.26,7.45,0.96,3.27
1,11,raspberry_pi,good,moderate,60.08,32.55,100.0,89.15,10.1,12.21,20.92,7.29,0.54,5.52
2,11,raspberry_pi,good,moderate,69.93,31.44,100.0,89.03,9.82,12.12,21.2,4.3,1.24,3.91
3,11,raspberry_pi,good,moderate,62.88,31.7,100.0,90.63,9.45,11.84,12.07,5.54,1.15,4.99
4,11,raspberry_pi,good,moderate,76.2,29.96,100.0,94.68,9.66,11.85,24.73,3.28,0.78,4.16
5,11,raspberry_pi,good,moderate,68.58,31.93,100.0,91.75,10.36,11.78,13.71,6.89,1.26,4.6
6,11,raspberry_pi,good,moderate,64.04,31.45,100.0,94.55,9.71,11.84,13.47,4.72,1.46,4.9
7,11,raspberry_pi,good,moderate,73.04,29.42,100.0,93.38,9.35,12.03,22.31,3.26,0.98,4.71
8,11,raspberry_pi,good,moderate,66.95,30.05,100.0,92.59,9.59,11.86,13.52,4.92,0.64,3.16
9,11,raspberry_pi,good,moderate,70.44,31.06,100.0,91.84,10.22,11.88,19.86,5.37,1.02,3.59
10,11,raspberry_pi,good,moderate,63.52,30.74,100.0,99.83,9.65,11.93,13.01,4.51,1.24,4.23
11,11,raspberry_pi,good,moderate,69.29,30.1,100.0,101.06,8.73,11.9,19.77,4.14,0.96,5.8
12,11,raspberry_pi,good,moderate,63.09,33.11,100.0,102.17,8.47,11.73,12.87,7.54,1.12,4.09
13,11,raspberry_pi,good,moderate,58.25,31.03,100.0,101.4,8.34,11.83,12.01,3.9,1.45,3.66
